expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV,PC_GDP,RO	0.031 	0.027 	0.034 	0.018 	0.036 	0.063 	0.069 	0.086 	0.124 
INV,PC_GDP,SE	0.388 	0.375 	0.357 	0.478 	0.535 	0.849 	0.432 	0.945 	0.845 
INV,PC_GDP,UK	0.799 	0.717 	0.787 	0.791 	1.130 	1.077 	0.587 	1.195 	1.568 
INV_BUY,MIO_EUR,AT	27 	50 	24 	107 	63 	58 	42 	154 	325 
INV_BUY,MIO_EUR,BE	562 	276 	566 	186 	216 	183 	462 	340 	596 
INV_BUY,MIO_EUR,BG	11 	0 	0 	65 	10 	0 	0 	0 	39 
INV_BUY,MIO_EUR,CH	197 	761 	208 	428 	351 	1194 	253 	559 	445 
INV_BUY,MIO_EUR,CZ	0 	3 	21 	15 	184 	18 	51 	19 	37 
INV_BUY,MIO_EUR,DE	4515 	4840 	5039 	4124 	3008 	3483 	1374 	5341 	6814 
INV_BUY,MIO_EUR,DK	832 	426 	1243 	441 	248 	107 	277 	310 	1052 
INV_BUY,MIO_EUR,EL	0 	0 	0 	0 	0 	0 	20 	205 	74 
INV_BUY,MIO_EUR,ES	667 	747 	499 	1141 	1531 	1877 	340 	687 	1700 
INV_BUY,MIO_EUR,EU15	34773 	29780 	28656 	27187 	34352 	28524 	11899 	37391 	58243 
INV_BUY,MIO_EUR,FI	371 	375 	395 	310 	263 	175 	77 	277 	178 
INV_BUY,MIO_EUR,FR	6848 	6765 	4291 	3482 	7146 	3905 	1361 	6301 	11147 
INV_BUY,MIO_EUR,HU	94 	66 	3 	35 	47 	17 	187 	0 	24 
INV_BUY,MIO_EUR,IE	64 	17 	0 	13 	17 	15 	8 	26 	198 
INV_BUY,MIO_EUR,IT	974 	443 	967 	843 	976 	479 	687 	2507 	2423 
INV_BUY,MIO_EUR,LU	32 	1 	8 	147 	75 	25 	0 	86 	28 
INV_BUY,MIO_EUR,NL	1031 	1383 	579 	906 	1455 	709 	241 	959 	2337 
INV_BUY,MIO_EUR,NO	730 	876 	564 	546 	413 	625 	385 	382 	341 
INV_BUY,MIO_EUR,PL	653 	238 	227 	384 	482 	342 	411 	556 	352 
INV_BUY,MIO_EUR,PT	40 	125 	164 	176 	341 	123 	118 	283 	60 
INV_BUY,MIO_EUR,RO	46 	23 	33 	17 	5 	40 	22 	82 	91 
INV_BUY,MIO_EUR,SE	1429 	1326 	1228 	1681 	1836 	2344 	708 	2556 	2265 
INV_BUY,MIO_EUR,UK	17382 	13006 	13653 	13630 	17179 	15042 	6185 	17360 	29047 
INV_BUY,NR_COMP,AT	7 	9 	5 	16 	17 	12 	13 	27 	16 
INV_BUY,NR_COMP,BE	20 	25 	19 	15 	25 	19 	17 	30 	36 
INV_BUY,NR_COMP,BG	3 	0 	0 	1 	1 	0 	0 	0 	4 
INV_BUY,NR_COMP,CH	18 	21 	19 	14 	15 	8 	24 	47 	13 
INV_BUY,NR_COMP,CZ	1 	1 	5 	3 	7 	5 	5 	2 	7 
INV_BUY,NR_COMP,DE	112 	132 	98 	111 	108 	103 	80 	142 	172 
INV_BUY,NR_COMP,DK	24 	27 	24 	26 	12 	7 	12 	20 	26 
INV_BUY,NR_COMP,EL	0 	0 	0 	0 	0 	0 	1 	2 	4 
INV_BUY,NR_COMP,ES	22 	27 	16 	23 	39 	25 	20 	23 	66 
INV_BUY,NR_COMP,EU15	900 	934 	810 	863 	856 	746 	577 	1093 	1288 
INV_BUY,NR_COMP,FI	37 	48 	23 	31 	29 	27 	25 	54 	43 
INV_BUY,NR_COMP,FR	268 	266 	237 	246 	230 	198 	153 	305 	301 
INV_BUY,NR_COMP,HU	1 	2 	1 	1 	2 	2 	2 	0 	3 
INV_BUY,NR_COMP,IE	3 	3 	0 	1 	3 	1 	3 	4 	7 
INV_BUY,NR_COMP,IT	32 	21 	28 	24 	28 	28 	29 	86 	64 
INV_BUY,NR_COMP,LU	3 	1 	2 	7 	4 	2 	0 	7 	2 
INV_BUY,NR_COMP,NL	61 	67 	52 	60 	50 	36 	22 	66 	88 
INV_BUY,NR_COMP,NO	24 	18 	21 	17 	12 	14 	12 	14 	20 
INV_BUY,NR_COMP,PL	21 	13 	16 	14 	17 	18 	13 	22 	18 
INV_BUY,NR_COMP,PT	27 	32 	38 	31 	26 	18 	6 	20 	15 
INV_BUY,NR_COMP,RO	2 	4 	3 	1 	1 	1 	4 	8 	9 
INV_BUY,NR_COMP,SE	41 	37 	30 	39 	42 	53 	34 	46 	56 
INV_BUY,NR_COMP,UK	243 	239 	238 	233 	243 	217 	162 	261 	392 
INV_GROW,MIO_EUR,AT	54 	29 	27 	20 	21 	30 	43 	23 	26 
INV_GROW,MIO_EUR,BE	68 	228 	175 	161 	257 	169 	240 	92 	156 
INV_GROW,MIO_EUR,BG	5 	0 	0 	0 	1 	1 	0 	4 	0 
INV_GROW,MIO_EUR,CH	107 	116 	55 	105 	26 	96 	90 	28 	85 
INV_GROW,MIO_EUR,CZ	9 	5 	3 	1 	0 	7 	9 	16 	30 
INV_GROW,MIO_EUR,DE	554 	336 	344 	510 	552 	350 	419 	474 	140 
INV_GROW,MIO_EUR,DK	35 	28 	41 	69 	2 	167 	55 	20 	53 
INV_GROW,MIO_EUR,EL	0 	0 	0 	0 	0 	10 	6 	25 	15 
INV_GROW,MIO_EUR,ES	152 	89 	149 	180 	241 	438 	411 	454 	391 
INV_GROW,MIO_EUR,EU15	5455 	4910 	3265 	3631 	4793 	5681 	4834 	6496 	4107 
INV_GROW,MIO_EUR,FI	40 	58 	50 	65 	44 	135 	29 	60 	61 
INV_GROW,MIO_EUR,FR	1743 	1286 	622 	811 	1222 	973 	916 	929 	319 
INV_GROW,MIO_EUR,HU	0 	5 	2 	3 	0 	10 	3 	23 	18 
