expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV_VEN,NR_COMP,SE	344 	397 	355 	384 	325 	334 	295 	293 	437 
INV_VEN,NR_COMP,UK	254 	388 	382 	399 	393 	426 	491 	727 	599 
INV_VEN,PC_GDP,AT	0.008 	0.008 	0.008 	0.008 	0.008 	0.010 	0.012 	0.011 	0.013 
INV_VEN,PC_GDP,BE	0.015 	0.032 	0.026 	0.033 	0.030 	0.025 	0.053 	0.052 	0.055 
INV_VEN,PC_GDP,BG	0.002 	0.003 	0.004 	0.000 	0.000 	0.009 	0.017 	0.031 	0.000 
INV_VEN,PC_GDP,CH	: 	0.034 	0.042 	0.025 	0.052 	0.052 	0.085 	0.132 	0.126 
INV_VEN,PC_GDP,CZ	0.002 	0.004 	0.000 	0.000 	0.005 	0.007 	0.001 	0.003 	0.001 
INV_VEN,PC_GDP,DE	0.025 	0.021 	0.023 	0.021 	0.029 	0.029 	0.029 	0.039 	0.034 
INV_VEN,PC_GDP,DK	0.109 	0.075 	0.078 	0.070 	0.067 	0.059 	0.051 	0.074 	0.092 
INV_VEN,PC_GDP,EL	0.000 	0.000 	0.001 	0.000 	0.004 	0.002 	0.006 	0.002 	0.000 
INV_VEN,PC_GDP,ES	0.010 	0.008 	0.008 	0.009 	0.012 	0.010 	0.013 	0.044 	0.034 
INV_VEN,PC_GDP,EU15	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
INV_VEN,PC_GDP,FI	0.047 	0.049 	0.049 	0.040 	0.039 	0.053 	0.048 	0.059 	0.070 
INV_VEN,PC_GDP,FR	0.034 	0.035 	0.037 	0.032 	0.035 	0.042 	0.048 	0.057 	0.049 
INV_VEN,PC_GDP,HU	0.022 	0.029 	0.017 	0.068 	0.030 	0.018 	0.001 	0.010 	0.006 
INV_VEN,PC_GDP,IE	0.041 	0.034 	0.048 	0.043 	0.024 	0.017 	0.027 	0.025 	0.034 
INV_VEN,PC_GDP,IT	0.002 	0.002 	0.003 	0.004 	0.003 	0.004 	0.004 	0.004 	0.007 
INV_VEN,PC_GDP,LU	0.079 	0.073 	0.090 	0.117 	0.260 	0.111 	0.134 	0.189 	0.105 
INV_VEN,PC_GDP,NL	0.032 	0.029 	0.024 	0.026 	0.029 	0.026 	0.028 	0.038 	0.050 
INV_VEN,PC_GDP,NO	0.026 	0.026 	0.021 	0.033 	0.034 	0.050 	0.048 	0.058 	0.097 
INV_VEN,PC_GDP,PL	0.007 	0.006 	0.006 	0.002 	0.007 	0.002 	0.001 	0.016 	0.006 
INV_VEN,PC_GDP,PT	0.039 	0.026 	0.017 	0.010 	0.007 	0.036 	0.024 	0.052 	0.078 
INV_VEN,PC_GDP,RO	0.001 	0.002 	0.002 	0.000 	0.000 	0.000 	0.000 	0.005 	0.001 
INV_VEN,PC_GDP,SE	0.034 	0.046 	0.051 	0.051 	0.058 	0.067 	0.071 	0.099 	0.118 
INV_VEN,PC_GDP,UK	0.032 	0.034 	0.026 	0.033 	0.045 	0.044 	0.052 	0.093 	0.076 
INV_VEN_LATE,MIO_EUR,AT	5 	10 	10 	6 	11 	18 	16 	17 	14 
INV_VEN_LATE,MIO_EUR,BE	30 	76 	47 	59 	27 	21 	66 	104 	76 
INV_VEN_LATE,MIO_EUR,BG	0 	0 	0 	0 	0 	0 	2 	7 	0 
INV_VEN_LATE,MIO_EUR,CH	143 	44 	66 	56 	103 	77 	126 	285 	253 
INV_VEN_LATE,MIO_EUR,CZ	1 	3 	0 	0 	4 	0 	1 	4 	2 
INV_VEN_LATE,MIO_EUR,DE	330 	209 	263 	220 	311 	297 	259 	518 	470 
INV_VEN_LATE,MIO_EUR,DK	53 	59 	91 	47 	70 	53 	36 	80 	79 
INV_VEN_LATE,MIO_EUR,EL	0 	0 	1 	0 	0 	0 	9 	3 	0 
INV_VEN_LATE,MIO_EUR,ES	40 	46 	44 	28 	63 	58 	85 	403 	274 
INV_VEN_LATE,MIO_EUR,EU15	1557 	1482 	1396 	1278 	1602 	1640 	1755 	3307 	3191 
INV_VEN_LATE,MIO_EUR,FI	25 	28 	35 	16 	25 	32 	29 	52 	71 
INV_VEN_LATE,MIO_EUR,FR	364 	363 	426 	338 	369 	462 	562 	680 	569 
INV_VEN_LATE,MIO_EUR,HU	3 	6 	9 	10 	9 	11 	0 	9 	4 
INV_VEN_LATE,MIO_EUR,IE	38 	25 	19 	16 	2 	4 	10 	18 	35 
INV_VEN_LATE,MIO_EUR,IT	13 	9 	11 	16 	13 	10 	18 	39 	75 
INV_VEN_LATE,MIO_EUR,LU	7 	10 	12 	25 	34 	6 	15 	37 	6 
INV_VEN_LATE,MIO_EUR,NL	64 	52 	58 	78 	64 	56 	59 	83 	155 
INV_VEN_LATE,MIO_EUR,NO	53 	40 	35 	52 	37 	56 	43 	59 	104 
INV_VEN_LATE,MIO_EUR,PL	15 	16 	16 	3 	20 	6 	0 	42 	16 
INV_VEN_LATE,MIO_EUR,PT	18 	5 	6 	4 	3 	12 	12 	40 	109 
INV_VEN_LATE,MIO_EUR,RO	1 	2 	0 	0 	0 	0 	0 	5 	1 
INV_VEN_LATE,MIO_EUR,SE	57 	104 	115 	127 	111 	104 	99 	164 	180 
INV_VEN_LATE,MIO_EUR,UK	512 	486 	258 	298 	499 	506 	480 	1069 	1080 
INV_VEN_LATE,NR_COMP,AT	4 	10 	12 	15 	11 	17 	10 	11 	12 
INV_VEN_LATE,NR_COMP,BE	16 	37 	43 	31 	20 	20 	59 	60 	46 
INV_VEN_LATE,NR_COMP,BG	0 	1 	1 	0 	1 	0 	1 	3 	0 
INV_VEN_LATE,NR_COMP,CH	39 	20 	34 	19 	31 	40 	41 	47 	34 
INV_VEN_LATE,NR_COMP,CZ	2 	2 	0 	0 	1 	0 	2 	2 	4 
INV_VEN_LATE,NR_COMP,DE	188 	177 	175 	238 	359 	375 	410 	540 	480 
INV_VEN_LATE,NR_COMP,DK	30 	29 	29 	35 	40 	34 	20 	40 	30 
INV_VEN_LATE,NR_COMP,EL	0 	0 	1 	0 	1 	0 	2 	2 	1 
INV_VEN_LATE,NR_COMP,ES	38 	36 	42 	23 	44 	35 	58 	87 	63 
INV_VEN_LATE,NR_COMP,EU15	717 	884 	937 	896 	1006 	1060 	1236 	1583 	1465 
INV_VEN_LATE,NR_COMP,FI	40 	42 	41 	29 	30 	18 	30 	41 	41 
INV_VEN_LATE,NR_COMP,FR	162 	201 	231 	182 	200 	239 	285 	272 	213 
INV_VEN_LATE,NR_COMP,HU	15 	19 	14 	17 	8 	3 	1 	6 	6 
INV_VEN_LATE,NR_COMP,IE	14 	12 	14 	7 	6 	9 	11 	21 	20 
INV_VEN_LATE,NR_COMP,IT	6 	6 	16 	11 	8 	10 	10 	13 	9 
INV_VEN_LATE,NR_COMP,LU	10 	9 	6 	14 	6 	3 	5 	7 	3 
INV_VEN_LATE,NR_COMP,NL	54 	46 	54 	61 	44 	53 	68 	47 	70 
INV_VEN_LATE,NR_COMP,NO	21 	25 	31 	30 	32 	31 	33 	32 	31 
INV_VEN_LATE,NR_COMP,PL	8 	19 	19 	7 	12 	4 	4 	15 	14 
INV_VEN_LATE,NR_COMP,PT	5 	5 	10 	2 	8 	6 	14 	14 	22 
INV_VEN_LATE,NR_COMP,RO	2 	3 	0 	0 	0 	0 	0 	1 	1 
INV_VEN_LATE,NR_COMP,SE	44 	112 	141 	118 	78 	62 	57 	83 	126 
INV_VEN_LATE,NR_COMP,UK	106 	162 	122 	130 	151 	179 	197 	345 	329 
INV_VEN_SEED,MIO_EUR,AT	10 	10 	11 	9 	7 	6 	6 	5 	8 
INV_VEN_SEED,MIO_EUR,BE	0 	2 	1 	3 	2 	6 	6 	9 	10 
INV_VEN_SEED,MIO_EUR,BG	0 	1 	0 	0 	0 	0 	0 	0 	0 
INV_VEN_SEED,MIO_EUR,CH	5 	3 	8 	16 	6 	7 	8 	20 	14 
INV_VEN_SEED,MIO_EUR,CZ	1 	0 	0 	0 	0 	0 	0 	0 	0 
INV_VEN_SEED,MIO_EUR,DE	44 	35 	43 	32 	44 	47 	62 	97 	51 
INV_VEN_SEED,MIO_EUR,DK	8 	3 	5 	2 	8 	13 	8 	10 	4 
INV_VEN_SEED,MIO_EUR,EL	0 	0 	0 	0 	5 	5 	0 	2 	0 
INV_VEN_SEED,MIO_EUR,ES	3 	0 	4 	12 	9 	1 	4 	14 	7 
INV_VEN_SEED,MIO_EUR,EU15	110 	89 	105 	99 	155 	124 	137 	232 	156 
INV_VEN_SEED,MIO_EUR,FI	9 	6 	4 	4 	3 	5 	10 	10 	17 
INV_VEN_SEED,MIO_EUR,FR	11 	7 	12 	6 	24 	19 	18 	48 	24 
INV_VEN_SEED,MIO_EUR,HU	3 	1 	0 	0 	4 	1 	0 	0 	0 
INV_VEN_SEED,MIO_EUR,IE	0 	0 	1 	0 	1 	1 	2 	1 	0 
INV_VEN_SEED,MIO_EUR,IT	2 	4 	2 	9 	3 	2 	2 	4 	0 
INV_VEN_SEED,MIO_EUR,LU	0 	0 	0 	1 	0 	0 	0 	0 	0 
INV_VEN_SEED,MIO_EUR,NL	8 	4 	4 	2 	9 	1 	5 	9 	14 
INV_VEN_SEED,MIO_EUR,NO	2 	0 	2 	2 	5 	3 	4 	30 	28 
INV_VEN_SEED,MIO_EUR,PL	3 	2 	2 	3 	0 	0 	1 	4 	2 
INV_VEN_SEED,MIO_EUR,PT	5 	6 	6 	1 	0 	0 	0 	0 	0 
INV_VEN_SEED,MIO_EUR,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_VEN_SEED,MIO_EUR,SE	0 	5 	8 	5 	2 	10 	5 	11 	15 
INV_VEN_SEED,MIO_EUR,UK	10 	6 	5 	13 	37 	7 	8 	12 	5 
INV_VEN_SEED,NR_COMP,AT	67 	64 	64 	55 	44 	35 	31 	27 	27 
INV_VEN_SEED,NR_COMP,BE	0 	32 	1 	6 	4 	5 	4 	11 	18 
INV_VEN_SEED,NR_COMP,BG	0 	2 	0 	0 	0 	0 	0 	0 	0 
INV_VEN_SEED,NR_COMP,CH	13 	7 	22 	22 	21 	21 	23 	34 	27 
INV_VEN_SEED,NR_COMP,CZ	4 	1 	1 	0 	1 	0 	0 	0 	0 
INV_VEN_SEED,NR_COMP,DE	169 	154 	172 	151 	167 	204 	157 	207 	128 
INV_VEN_SEED,NR_COMP,DK	6 	4 	7 	3 	13 	17 	11 	10 	7 
INV_VEN_SEED,NR_COMP,EL	0 	0 	0 	0 	1 	2 	0 	1 	0 
INV_VEN_SEED,NR_COMP,ES	2 	0 	2 	5 	9 	7 	8 	12 	9 
INV_VEN_SEED,NR_COMP,EU15	364 	431 	366 	327 	398 	359 	345 	467 	437 
INV_VEN_SEED,NR_COMP,FI	34 	43 	12 	14 	12 	19 	52 	58 	76 
INV_VEN_SEED,NR_COMP,FR	14 	9 	19 	7 	64 	34 	13 	46 	17 
INV_VEN_SEED,NR_COMP,HU	4 	7 	0 	0 	4 	1 	0 	0 	0 
INV_VEN_SEED,NR_COMP,IE	2 	3 	7 	1 	4 	4 	2 	5 	0 
INV_VEN_SEED,NR_COMP,IT	8 	15 	3 	12 	7 	3 	5 	5 	1 
INV_VEN_SEED,NR_COMP,LU	0 	1 	0 	1 	1 	0 	1 	2 	1 
INV_VEN_SEED,NR_COMP,NL	22 	19 	11 	6 	16 	2 	4 	30 	47 
INV_VEN_SEED,NR_COMP,NO	9 	0 	9 	6 	5 	12 	13 	39 	44 
INV_VEN_SEED,NR_COMP,PL	25 	9 	23 	10 	3 	0 	1 	8 	2 
INV_VEN_SEED,NR_COMP,PT	26 	26 	24 	13 	3 	1 	2 	0 	10 
INV_VEN_SEED,NR_COMP,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_VEN_SEED,NR_COMP,SE	1 	42 	31 	35 	12 	9 	33 	35 	87 
INV_VEN_SEED,NR_COMP,UK	13 	19 	13 	18 	41 	17 	22 	18 	9 
INV_VEN_STAR,MIO_EUR,AT	13 	5 	5 	10 	6 	5 	13 	10 	16 
INV_VEN_STAR,MIO_EUR,BE	33 	49 	56 	66 	85 	65 	112 	72 	104 
INV_VEN_STAR,MIO_EUR,BG	1 	0 	1 	0 	0 	3 	4 	4 	0 
INV_VEN_STAR,MIO_EUR,CH	134 	132 	141 	57 	153 	143 	196 	192 	172 
INV_VEN_STAR,MIO_EUR,CZ	1 	3 	1 	1 	4 	12 	0 	0 	0 
INV_VEN_STAR,MIO_EUR,DE	383 	370 	353 	339 	416 	407 	383 	389 	343 
INV_VEN_STAR,MIO_EUR,DK	230 	134 	102 	129 	87 	76 	74 	88 	131 
INV_VEN_STAR,MIO_EUR,EL	0 	0 	0 	0 	4 	0 	4 	0 	0 
INV_VEN_STAR,MIO_EUR,ES	62 	37 	37 	49 	53 	46 	46 	78 	84 
INV_VEN_STAR,MIO_EUR,EU15	1853 	1666 	1570 	1663 	1730 	1720 	1785 	2244 	2141 
INV_VEN_STAR,MIO_EUR,FI	64 	66 	61 	60 	49 	61 	48 	54 	43 
INV_VEN_STAR,MIO_EUR,FR	370 	381 	347 	330 	333 	367 	349 	410 	364 
INV_VEN_STAR,MIO_EUR,HU	18 	22 	8 	57 	18 	6 	0 	2 	2 
INV_VEN_STAR,MIO_EUR,IE	50 	39 	67 	59 	39 	23 	33 	27 	31 
INV_VEN_STAR,MIO_EUR,IT	18 	19 	30 	42 	34 	50 	45 	18 	42 
INV_VEN_STAR,MIO_EUR,LU	34 	25 	30 	25 	76 	38 	34 	34 	32 
INV_VEN_STAR,MIO_EUR,NL	147 	136 	96 	88 	113 	109 	111 	150 	138 
INV_VEN_STAR,MIO_EUR,NO	37 	57 	45 	77 	80 	103 	87 	95 	154 
INV_VEN_STAR,MIO_EUR,PL	12 	7 	5 	3 	5 	2 	1 	11 	2 
INV_VEN_STAR,MIO_EUR,PT	47 	34 	17 	13 	10 	53 	30 	52 	28 
INV_VEN_STAR,MIO_EUR,RO	0 	0 	4 	0 	0 	0 	1 	2 	0 
INV_VEN_STAR,MIO_EUR,SE	93 	89 	100 	84 	122 	132 	115 	174 	227 
INV_VEN_STAR,MIO_EUR,UK	310 	283 	269 	368 	304 	289 	388 	689 	557 
INV_VEN_STAR,NR_COMP,AT	21 	14 	11 	17 	13 	5 	18 	17 	15 
INV_VEN_STAR,NR_COMP,BE	37 	54 	54 	75 	68 	54 	89 	77 	62 
INV_VEN_STAR,NR_COMP,BG	1 	0 	2 	2 	1 	4 	2 	5 	0 
INV_VEN_STAR,NR_COMP,CH	61 	60 	60 	52 	74 	78 	67 	68 	55 
INV_VEN_STAR,NR_COMP,CZ	5 	5 	2 	1 	4 	1 	0 	0 	0 
INV_VEN_STAR,NR_COMP,DE	528 	555 	498 	483 	468 	481 	469 	432 	360 
INV_VEN_STAR,NR_COMP,DK	71 	69 	65 	72 	61 	62 	64 	66 	77 
INV_VEN_STAR,NR_COMP,EL	0 	1 	0 	0 	2 	0 	3 	0 	1 
INV_VEN_STAR,NR_COMP,ES	50 	50 	53 	71 	71 	44 	55 	72 	61 
INV_VEN_STAR,NR_COMP,EU15	1802 	1943 	1797 	1838 	1700 	1775 	1808 	1863 	1587 
INV_VEN_STAR,NR_COMP,FI	107 	123 	113 	100 	90 	120 	97 	108 	90 
INV_VEN_STAR,NR_COMP,FR	210 	255 	220 	210 	203 	226 	242 	227 	163 
INV_VEN_STAR,NR_COMP,HU	40 	40 	21 	25 	18 	7 	1 	4 	6 
INV_VEN_STAR,NR_COMP,IE	47 	59 	81 	74 	66 	42 	50 	52 	43 
INV_VEN_STAR,NR_COMP,IT	28 	38 	42 	55 	32 	41 	17 	9 	15 
INV_VEN_STAR,NR_COMP,LU	25 	19 	26 	26 	27 	23 	22 	23 	18 
INV_VEN_STAR,NR_COMP,NL	159 	184 	148 	124 	132 	135 	137 	95 	136 
INV_VEN_STAR,NR_COMP,NO	44 	51 	71 	75 	90 	93 	91 	74 	113 
INV_VEN_STAR,NR_COMP,PL	31 	19 	20 	12 	11 	8 	2 	21 	7 
INV_VEN_STAR,NR_COMP,PT	81 	67 	51 	43 	22 	37 	52 	108 	26 
INV_VEN_STAR,NR_COMP,RO	0 	1 	1 	0 	0 	0 	1 	1 	0 
INV_VEN_STAR,NR_COMP,SE	300 	244 	188 	234 	238 	272 	210 	201 	245 
INV_VEN_STAR,NR_COMP,UK	138 	211 	247 	254 	207 	233 	283 	376 	275 
